処理時間	平方根和の差	世代交代数	個体集団内の個体の数	エリート保存戦略で残す個体の数	トーナメント選択で無作為抽出する個体の数	突然変異確率	フロイド問題におけるN	選択方式	交叉方式
3.804583	0.000048	1000	1000	10	5	0.100000	64	ランキング選択	2点交叉
3.925868	0.000005	1000	1000	10	5	0.100000	64	ランキング選択	一様交叉
3.722110	0.000032	1000	1000	10	5	0.100000	64	ランキング選択	1点交叉
2.927790	0.000006	1000	1000	10	5	0.010000	64	トーナメント選択	2点交叉
3.007785	0.000012	1000	1000	10	5	0.010000	64	トーナメント選択	一様交叉
2.728508	0.000007	1000	1000	10	5	0.010000	64	トーナメント選択	1点交叉
3.797828	0.000013	1000	1000	10	5	0.010000	64	ランキング選択	2点交叉
3.680975	0.000028	1000	1000	10	5	0.010000	64	ランキング選択	一様交叉
3.815152	0.000005	1000	1000	10	5	0.010000	64	ランキング選択	1点交叉
2.974717	0.000048	1000	1000	10	10	0.100000	64	トーナメント選択	2点交叉
2.879581	0.000033	1000	1000	10	10	0.100000	64	トーナメント選択	一様交叉
2.902986	0.000032	1000	1000	10	10	0.100000	64	トーナメント選択	1点交叉
3.954445	0.000150	1000	1000	10	10	0.100000	64	ランキング選択	2点交叉
3.678789	0.000122	1000	1000	10	10	0.100000	64	ランキング選択	一様交叉
3.938561	0.000064	1000	1000	10	10	0.100000	64	ランキング選択	1点交叉
2.978192	0.000003	1000	1000	10	10	0.010000	64	トーナメント選択	2点交叉
2.826507	0.000115	1000	1000	10	10	0.010000	64	トーナメント選択	一様交叉
2.928607	0.000113	1000	1000	10	10	0.010000	64	トーナメント選択	1点交叉
3.860648	0.000014	1000	1000	10	10	0.010000	64	ランキング選択	2点交叉
3.748115	0.000006	1000	1000	10	10	0.010000	64	ランキング選択	一様交叉
3.782778	0.000041	1000	1000	10	10	0.010000	64	ランキング選択	1点交叉
2.637048	0.000069	1000	1000	10	1	0.100000	64	トーナメント選択	2点交叉
2.655084	0.000048	1000	1000	10	1	0.100000	64	トーナメント選択	一様交叉
2.638151	0.000033	1000	1000	10	1	0.100000	64	トーナメント選択	1点交叉
3.685956	0.000036	1000	1000	10	1	0.100000	64	ランキング選択	2点交叉
3.765317	0.000029	1000	1000	10	1	0.100000	64	ランキング選択	一様交叉
3.749180	0.000098	1000	1000	10	1	0.100000	64	ランキング選択	1点交叉
2.656337	0.000054	1000	1000	10	1	0.010000	64	トーナメント選択	2点交叉
2.689664	0.000297	1000	1000	10	1	0.010000	64	トーナメント選択	一様交叉
2.631055	0.000005	1000	1000	10	1	0.010000	64	トーナメント選択	1点交叉
3.747041	0.000040	1000	1000	10	1	0.010000	64	ランキング選択	2点交叉
3.670802	0.000096	1000	1000	10	1	0.010000	64	ランキング選択	一様交叉
3.724447	0.000020	1000	1000	10	1	0.010000	64	ランキング選択	1点交叉
2.757123	0.000009	1000	1000	1	5	0.100000	64	トーナメント選択	2点交叉
2.752029	0.000055	1000	1000	1	5	0.100000	64	トーナメント選択	一様交叉
2.752923	0.000029	1000	1000	1	5	0.100000	64	トーナメント選択	1点交叉
3.739681	0.000009	1000	1000	1	5	0.100000	64	ランキング選択	2点交叉
3.781582	0.000041	1000	1000	1	5	0.100000	64	ランキング選択	一様交叉
3.906181	0.000029	1000	1000	1	5	0.100000	64	ランキング選択	1点交叉
2.720206	0.000014	1000	1000	1	5	0.010000	64	トーナメント選択	2点交叉
2.824153	0.000053	1000	1000	1	5	0.010000	64	トーナメント選択	一様交叉
2.726332	0.000032	1000	1000	1	5	0.010000	64	トーナメント選択	1点交叉
3.812699	0.000001	1000	1000	1	5	0.010000	64	ランキング選択	2点交叉
3.821803	0.000014	1000	1000	1	5	0.010000	64	ランキング選択	一様交叉
3.863292	0.000105	1000	1000	1	5	0.010000	64	ランキング選択	1点交叉
2.997237	0.000141	1000	1000	1	10	0.100000	64	トーナメント選択	2点交叉
2.903443	0.000040	1000	1000	1	10	0.100000	64	トーナメント選択	一様交叉
2.774306	0.000000	1000	1000	1	10	0.100000	64	トーナメント選択	1点交叉
3.754744	0.000037	1000	1000	1	10	0.100000	64	ランキング選択	2点交叉
3.759229	0.000095	1000	1000	1	10	0.100000	64	ランキング選択	一様交叉
3.780684	0.000059	1000	1000	1	10	0.100000	64	ランキング選択	1点交叉
2.929744	0.000073	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.933056	0.000078	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
3.136030	0.000039	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.972701	0.000006	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
3.709589	0.000054	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
3.717443	0.000041	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.671915	0.000047	1000	1000	1	1	0.100000	64	トーナメント選択	2点交叉
2.799699	0.000030	1000	1000	1	1	0.100000	64	トーナメント選択	一様交叉
2.807424	0.000037	1000	1000	1	1	0.100000	64	トーナメント選択	1点交叉
3.862785	0.000020	1000	1000	1	1	0.100000	64	ランキング選択	2点交叉
3.716434	0.000102	1000	1000	1	1	0.100000	64	ランキング選択	一様交叉
3.789200	0.000080	1000	1000	1	1	0.100000	64	ランキング選択	1点交叉
2.793273	0.000117	1000	1000	1	1	0.010000	64	トーナメント選択	2点交叉
2.745786	0.000089	1000	1000	1	1	0.010000	64	トーナメント選択	一様交叉
2.710874	0.000039	1000	1000	1	1	0.010000	64	トーナメント選択	1点交叉
3.894439	0.000191	1000	1000	1	1	0.010000	64	ランキング選択	2点交叉
3.716454	0.000143	1000	1000	1	1	0.010000	64	ランキング選択	一様交叉
3.730787	0.000032	1000	1000	1	1	0.010000	64	ランキング選択	1点交叉
2.733143	0.000071	1000	1000	10	5	0.100000	64	トーナメント選択	2点交叉
2.738867	0.000099	1000	1000	10	5	0.100000	64	トーナメント選択	一様交叉
2.763505	0.000023	1000	1000	10	5	0.100000	64	トーナメント選択	1点交叉
3.812389	0.000001	1000	1000	10	5	0.100000	64	ランキング選択	2点交叉
3.754519	0.000072	1000	1000	10	5	0.100000	64	ランキング選択	一様交叉
3.967619	0.000021	1000	1000	10	5	0.100000	64	ランキング選択	1点交叉
2.841766	0.000008	1000	1000	10	5	0.010000	64	トーナメント選択	2点交叉
2.868431	0.000061	1000	1000	10	5	0.010000	64	トーナメント選択	一様交叉
3.017591	0.000051	1000	1000	10	5	0.010000	64	トーナメント選択	1点交叉
3.959353	0.000159	1000	1000	10	5	0.010000	64	ランキング選択	2点交叉
3.745039	0.000118	1000	1000	10	5	0.010000	64	ランキング選択	一様交叉
3.844626	0.000023	1000	1000	10	5	0.010000	64	ランキング選択	1点交叉
3.153306	0.000012	1000	1000	10	10	0.100000	64	トーナメント選択	2点交叉
3.012355	0.000002	1000	1000	10	10	0.100000	64	トーナメント選択	一様交叉
2.990388	0.000058	1000	1000	10	10	0.100000	64	トーナメント選択	1点交叉
3.958375	0.000040	1000	1000	10	10	0.100000	64	ランキング選択	2点交叉
4.037739	0.000128	1000	1000	10	10	0.100000	64	ランキング選択	一様交叉
4.101021	0.000054	1000	1000	10	10	0.100000	64	ランキング選択	1点交叉
3.113497	0.000019	1000	1000	10	10	0.010000	64	トーナメント選択	2点交叉
2.970631	0.000010	1000	1000	10	10	0.010000	64	トーナメント選択	一様交叉
2.839948	0.000001	1000	1000	10	10	0.010000	64	トーナメント選択	1点交叉
3.710241	0.000005	1000	1000	10	10	0.010000	64	ランキング選択	2点交叉
3.778946	0.000081	1000	1000	10	10	0.010000	64	ランキング選択	一様交叉
3.898249	0.000047	1000	1000	10	10	0.010000	64	ランキング選択	1点交叉
2.704321	0.000155	1000	1000	10	1	0.100000	64	トーナメント選択	2点交叉
2.769016	0.000132	1000	1000	10	1	0.100000	64	トーナメント選択	一様交叉
2.807655	0.000028	1000	1000	10	1	0.100000	64	トーナメント選択	1点交叉
3.733216	0.000005	1000	1000	10	1	0.100000	64	ランキング選択	2点交叉
3.671754	0.000004	1000	1000	10	1	0.100000	64	ランキング選択	一様交叉
3.897238	0.000011	1000	1000	10	1	0.100000	64	ランキング選択	1点交叉
